popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
34,https://i.scdn.co/image/21b28497c46bc1816769c7068c63eec5982e0624,0.164,18,https://open.spotify.com/track/3l2pObHGPzGmgRWDlAbUJN,1965,0.5,0.664,,0.513,141.638,0.0525,7,351426,"The ""In"" Crowd - Live (1965/Bohemian Caverns)",Ramsey Lewis Trio,0.961,0,1,4,-19.477,0.639
30,https://i.scdn.co/image/c93d3af30fe684334ff4e214acae7938fb69e39f,0.0572,19,https://open.spotify.com/track/1GJCJpKYfzRUsYnSRy4Mfz,1965,0.746,0.659,,0.465,148.894,0.00458,0,167480,"Mrs. Brown, You've Got A Lovely Daughter",Herman's Hermits,0.0963,0,1,4,-9.53,0.889
51,https://i.scdn.co/image/5d8e5c27309f7f2c32c354fd6d6241285b870c95,0.0279,20,https://open.spotify.com/track/5yfrc6CGOXxDWx3nGUDcNj,1965,0.508,0.628,,0.593,114.944,0,0,172933,Stop! In The Name Of Love,The Supremes,0.104,0,1,4,-7.515,0.488
64,https://i.scdn.co/image/5a3b78a1f18acf02e5992676684a03e7dd3a402b,0.0288,21,https://open.spotify.com/track/1jFhnVoJkcB4lf9tT0rSZS,1965,0.517,0.367,,0.215,98.742,0,0,215840,Unchained Melody,The Righteous Brothers,0.618,0,1,3,-16.652,0.266
24,https://i.scdn.co/image/1288b9c8ffa25811b5658c238fddadaf2dfe5e06,0.0299,22,https://open.spotify.com/track/5CxPrMKcGFqqN91ILor9dt,1965,0.64,0.545,,0.607,112.652,0,7,119106,Silhouettes,Herman's Hermits,0.298,0,1,4,-8.439,0.901
46,https://i.scdn.co/image/dd17727485951e621cc03d79eb8720c64d494187,0.0336,23,https://open.spotify.com/track/6Ln9F9lZNMgV5Ht87z9Bd0,1965,0.75,0.567,https://p.scdn.co/mp3-preview/41111c2b1156492e8f29008dc1830f3ce7fe3913?cid=b1f28da8553c44beb65edac3ed1abac7,0.672,126.509,0.0837,10,162320,I'll Never Find Another You,The Seekers,0.367,0,1,4,-7.666,0.79
41,https://i.scdn.co/image/ef34cbb6a9e69816aa185910fa9103e871a1b1db,0.046,24,https://open.spotify.com/track/0Arrnl9EB7LtzPISpNBQQf,1965,0.29,0.366,,0.707,127.701,3.17e-05,0,153160,"Cara, Mia",Jay & The Americans,0.505,0,1,4,-9.392,0.525
60,https://i.scdn.co/image/24c186e48ab592cb6da68473209a65c32a8b2ae5,0.0294,25,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d,1965,0.513,0.456,https://p.scdn.co/mp3-preview/2147c3bcac56bd48da6e54a5dc3fadf0e79bc5a2?cid=b1f28da8553c44beb65edac3ed1abac7,0.47,120.336,3.76e-05,2,149466,Mr. Tambourine Man,The Byrds,0.444,0,1,4,-9.564,0.639
24,https://i.scdn.co/image/a97c5085142a29fe26c3e4924d0e359abffec7ae,0.0408,26,https://open.spotify.com/track/38KTIenSEnoGNGLUrYdFLV,1965,0.394,0.559,https://p.scdn.co/mp3-preview/736b4efb7a555fbe598b565f70866f66bb56aa26?cid=b1f28da8553c44beb65edac3ed1abac7,0.31,128.691,0.794,8,195000,Cast Your Fate to the Wind,Sounds Orchestral,0.108,0,1,4,-13.499,0.311
47,https://i.scdn.co/image/d0993de608213cdc985a6631a54b9c760ffd09b5,0.0287,27,https://open.spotify.com/track/2gZpW5pTZkimGG98loFSl2,1965,0.902,0.237,https://p.scdn.co/mp3-preview/c228255feb53b766724c1f99dc47f81d749d08cb?cid=b1f28da8553c44beb65edac3ed1abac7,0.377,173.142,0,5,184333,Yes. I'm Ready,Barbara Mason,0.131,0,1,3,-8.798,0.479
